,rule_id,inchikey,chembl_id,predicate_id,ref_id,compound_id,object_id,object_external_id,object_name,predicate_name,ref_name
0,8127,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,14,22,14,256,BE0000694,Beta-2 adrenergic receptor,agonist,drugbank:targets:human
1,117558,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,71,47,14,5493,CHEMBL210,Beta-2 adrenergic receptor,agonist,chembl:mechs
2,129817,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,132,14,5493,CHEMBL210,Beta-2 adrenergic receptor,reported_activity,chembl:activity
3,129818,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,132,14,5492,CHEMBL213,Beta-1 adrenergic receptor,reported_activity,chembl:activity
4,129819,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,132,14,5466,CHEMBL273,Serotonin 1a (5-HT1a) receptor,reported_activity,chembl:activity
5,131549,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,6995,CHEMBL2096974,Adrenergic receptor beta; ADRB1 & ADRB2,reported_activity,chembl:activity:superset
6,131550,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,5826,CHEMBL2331074,Adrenergic receptor,reported_activity,chembl:activity:superset
7,131551,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,6996,CHEMBL2111388,Beta-2 adrenergic receptor and beta-3 adrenergic receptor,reported_activity,chembl:activity:superset
8,131552,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,5806,CHEMBL2094118,Adrenergic receptor beta,reported_activity,chembl:activity:superset
9,131553,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,6997,CHEMBL2097169,Adrenergic receptor beta; ADRB1 & ADRB3,reported_activity,chembl:activity:superset
10,131554,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,6992,CHEMBL2097171,Serotonin 1a (5-HT1a) receptor/Adrenergic receptor alpha-1,reported_activity,chembl:activity:superset
11,131555,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,6247,CHEMBL2094123,Serotonin (5-HT) receptor,reported_activity,chembl:activity:superset
12,131556,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,89,156,14,5580,CHEMBL2095159,Serotonin 1 (5-HT1) receptor,reported_activity,chembl:activity:superset
13,149398,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,96,158,14,8549,beta 2,beta 2,agonist,libraries:biomol:targets
14,150482,STJMRWALKKWQGH-UHFFFAOYSA-N,CHEMBL49080,110,160,14,8632,Adrenergic receptor beta-2,Adrenergic receptor beta-2,targets,libraries:prestwick:targets
15,117570,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,71,47,50,5492,CHEMBL213,Beta-1 adrenergic receptor,agonist,chembl:mechs
16,129948,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,89,132,50,5577,CHEMBL339,Dopamine D2 receptor,reported_activity,chembl:activity
17,129949,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,89,132,50,5518,CHEMBL217,Dopamine D2 receptor,reported_activity,chembl:activity
18,129950,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,89,132,50,5582,CHEMBL265,Dopamine D1 receptor,reported_activity,chembl:activity
19,129951,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,89,132,50,5521,CHEMBL238,Dopamine transporter,reported_activity,chembl:activity
20,129952,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,89,132,50,5495,CHEMBL222,Norepinephrine transporter,reported_activity,chembl:activity
21,129953,CTENFNNZBMHDDG-UHFFFAOYSA-N,CHEMBL59,89,132,50,5517,CHEMBL2056,Dopamine D1 receptor,reported_activity,chembl:activity
